Candidate,Party,Votes
SHER SINGH GHUBAYA,Shiromani Akali Dal,487932
SUNIL JAKHAR,Indian National Congress,456512
SATNAM PAUL KAMBOJ,Aam Aadmi Party,113412
RAM KUMAR PARJAPAT,Bahujan Samaj Party,22274
DHIAN SINGH MAND,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),3655
RAJ GILL,Independent,3311
MANOJ KUMAR MONGA,Independent,1896
PANJAB SINGH KATWAL,Independent,1759
RAJINDER BHATHEJA,Independent,1546
CHANAN SINGH WATTU,Independent,1237
GURJANT SINGH,Independent,1088
PARAMJEET SINGH DESAL,Independent,976
SWARAN SINGH,Independent,766
SAMPURAN SINGH,Independent,682
BALJINDER SINGH,Bharatiya Gaon Taj Dal,681
None of the Above,None of the Above,7685
