Candidate,Party,Votes
YASHWANT SINGH,Bharatiya Janata Party,367825
YASHVIR SINGH,Samajwadi Party,275435
GIRISH CHANDRA,Bahujan Samaj Party,245685
SHEESHRAM SINGH RAVI,Peace Party,21334
BHAGWAN DASS RATHOR,Mahan Dal,4581
SUNIL,Independent,4328
SARIKA,Aam Aadmi Party,3695
SHAMSHER,Independent,3577
OMPRAKASH RAVI,Shivsena,2967
TEJ SINGH,Ambedkar Samaj Party,1845
ASARPAT SINGH,Independent,1714
MANJU DEVI,Lok Dal,1027
SHARISHTHA KUMAR SINGH,Jai Maha Bharath Party,861
VINOD KUMAR,Bahujan Mukti Party,852
None of the Above,None of the Above,6470
