Candidate,Party,Votes
BAHADUR SINGH,Bharatiya Janata Party,579825
DR.SURESH JATAV,Indian National Congress,334357
MAHENDAR KUMAR JATAV,Bahujan Samaj Party,22090
GOPAL PAHARIA,Aam Aadmi Party,7013
AMAR CHAND POHIYA,Rajasthan Vikas Party,3969
SHEETAL JATAV,Independent,2071
VIMLA UMAR,All India Trinamool Congress,1792
MAMRAJ,Independent,1787
MADHURI PUSHKAR,Independent,1187
LAKHAN SINGH,Indian Peoples Green Party,960
PREM CHAND DHAMANI,Independent,835
GHISU LAL,Independent,611
None of the Above,None of the Above,5935
