Candidate,Party,Votes
RAMA DEVI,Bharatiya Janata Party,372506
MD ANWARUL HAQUE,Rashtriya Janata Dal,236267
SHAHID ALI KHAN,Janata Dal (United),79108
LOVELY ANAND,Samajwadi Party,46008
ANGESH KUMAR,Bahujan Samaj Party,26446
LAXMAN PASWAN,Jharkhand Mukti Morcha,18681
SHIVANANDAN PRASAD,Independent,12161
SHATRUGHNA SAHU,Aam Aadmi Party,8256
SANJAY PRASAD,Independent,8245
RAMASHISH MAHTO,Independent,5941
JATA SHANKAR AATREY,Rajnaitik Vikalp Party,4641
JAGRANATH SAHANI,Sarvajan Kalyan Loktantrik Party,4399
MD NASRUDDIN ANSARI,National Lokmat Party,3072
RAMASHANKAR SINGH,All India Forward Bloc,2845
RAM LOBHIT PASWAN,Bahujan Mukti Party,2648
None of the Above,None of the Above,11670
