Candidate,Party,Votes
PANNERSELVAM.V,All India Anna Dravida Munnetra Kazhagam,556546
UMARANI. S,Dravida Munnetra Kazhagam,288936
SUDHISH L K,Desiya Murpokku Dravida Kazhagam,201265
RANGARAJAN MOHAN KUMARAMANGALAM,Indian National Congress,46477
CHINNUSAMY N,Independent,5374
SATHEESH KUMAR E,Aam Aadmi Party,5198
GOVINDARAJU K,Independent,3261
SENTHIL KUMAR M,Independent,2903
SAKTHIVEL S,Independent,2581
KANDASAMY R,Independent,2550
RAJA A,Independent,2203
KUPPAYEE R,Independent,1701
SHANMUGAM G,Makkal Manadu Katchi,1623
VINAYAGAMOORTHI T,Bahujan Samaj Party,1619
UMARANI S,Independent,1232
RAJAKANNU A,Independent,1151
THIAGARAJAN K,Independent,777
ARUMUGAM M,Independent,731
VENKATESAN R,Republican Party of India (A),623
PANNEERSELVAM N,Independent,574
M AHAMED SHAHJAHAN,Independent,529
ABDUL WAHID I,Independent,526
PRAKASAM R,Independent,484
MASS GANESH A,Thrinamool Tamil Nadu Congress,474
NANDAKUMAR G,Independent,357
None of the Above,None of the Above,20601
