Candidate,Party,Votes
C. N. JAYADEVAN,Communist Party of India,389209
K. P. DHANAPALAN,Indian National Congress,350982
K.P. SREESAN,Bharatiya Janata Party,102681
SARAH JOSEPH,Aam Aadmi Party,44638
SUFEERA K. P.,SOCIAL DEMOCRATIC PARTY OF INDIA,6894
T. L. SANTHOSH,Independent,6044
JASMINSHA,Independent,3959
ADV. A. JAYARAM,Bahujan Samaj Party,2110
MANIYANGATTIL SUKUMARAN,Independent,949
K.SIVARAMAN,Communist Party of India (Marxist-Leninist) Red Star,718
HAJI MOIDEEN SHAH,Janata Dal (United),659
M. NARAYANANKUTTY (M. N. KUTTY),Independent,616
SOMAN PILLAI,Indian Gandhiyan Party,546
JIJU CHEENIKKAL,Independent,450
None of the Above,None of the Above,10050
