Candidate,Party,Votes
NISHIKANT DUBEY,Bharatiya Janata Party,380500
FURKAN ANSARI,Indian National Congress,319818
PRADIP YADAV,Jharkhand Vikas Morcha (Prajatantrik),193506
DAMODAR SINGH,All India Trinamool Congress,28246
SUNIL KUMAR GUPTA,Independent,22349
MANRAJ,Bahujan Samaj Party,20871
RAJVARDHAN AZAD,Janata Dal (United),14034
SUBODH PRASAD,AJSU Party,10998
NIRANJAN PRASAD YADAV,Independent,9059
MANOJ KUMAR RAY,Independent,7447
NAVIN CHANDRA JHA,Independent,7278
MD. NOOR HASSAN,Samata Party,5132
JAI SHANKAR JHA,Aam Aadmi Party,5080
MD. JENUL,Bahujan Mukti Party,4466
GITA MANDAL,Communist Party of India (Marxist-Leninist) (Liberation),4344
MAHENDRA MURMU,Jharkhand Vikas Dal,3904
None of the Above,None of the Above,12410
