Candidate,Party,Votes
MULAYAM SINGH YADAV,Samajwadi Party,595918
SHATRUGHAN SINGH CHAUHAN,Bharatiya Janata Party,231252
DR. SANGHMITRA MAURYA,Bahujan Samaj Party,142833
ALOK NANDAN,Independent,5645
BABA HARDEV SINGH,Aam Aadmi Party,5588
MUKESH KUMAR SHAKYA,Independent,2542
HAKIM SINGH,Independent,2279
ABU NASIM PATHAN,Peace Party,2095
RAJESHWARI,Independent,1746
MUKESH KUMAR,Independent,916
SATENDRA VEER SINGH CHAUHAN,All India Forward Bloc,872
ASHOK KUMAR,Independent,695
SHISHUPAL SINGH,Bhartiya Shakti Chetna Party,561
None of the Above,None of the Above,6323
