Candidate,Party,Votes
SUBHASH BAHERIA,Bharatiya Janata Party,630317
ASHOK CHANDNA,Indian National Congress,384053
GOVIND KUMAR BAIRWA,Bahujan Samaj Party,15088
SATYA PRAKASH SHARMA,Independent,11982
CHANDRA PRAKASH GOCHER,Bharatiya Yuva Shakti,10344
RATAN LAL DHOBI,Independent,7110
SURENDAR SINGH RANAWAT,Independent,6737
SUNIL AGIWAL,Aam Aadmi Party,5909
RADHY SHYAM VAISHNAV,Bahujan Sangharshh Dal,5684
SHYAM LAL SALVI,Independent,5374
ASLAM SHEKH ADVOCATE,Independent,1794
None of the Above,None of the Above,19698
