Candidate,Party,Votes
MD. SALIM,Communist Party of India (Marxist),317515
DEEPA DASMUNSI,Indian National Congress,315881
NIMU BHOWMICK,Bharatiya Janata Party,203131
PABITRA RANJAN DASMUNSHI (SATYA),All India Trinamool Congress,192698
SUDIIP RANJAN SEN,Samajwadi Party,32303
DULAL RAJBANSHI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8592
SWAPAN KUMAR DAS,Bahujan Samaj Party,5629
SUBRATA ADHIKARY,Independent,5548
BABLU SOREN,Jharkhand Disom Party,5544
PASARUL ALAM,Aam Aadmi Party,3614
ZAMEERUL HASAN,All India United Democratic Front,3471
NANDAKISHOR SINGHA,Amra Bangalee,3338
None of the Above,None of the Above,10929
