Candidate,Party,Votes
KANWAR SINGH TANWAR,Bharatiya Janata Party,528880
HUMERA AKHTAR,Samajwadi Party,370666
FARHAT HASAN,Bahujan Samaj Party,162983
RAKESH TIKAIT,Rashtriya Lok Dal,9539
SYED KALBE RUSHAID RIZVI,Aam Aadmi Party,2601
NARESH KUMAR,Independent,2493
KHAJAN SINGH,Rashtriya Congress (Babu Jagjivanram),2448
SURENDRA SINGH,Independent,2425
NARESH CHAND,Independent,1431
SARVESH KUMAR SAINI,Shivsena,980
HUSNEIN RAZAA,New All India Congress Party,858
BRAJLAL,Bahujan Mukti Party,837
RAKESH,Peace Party,749
MAHESH,Republican Party of India (A),713
RAJPAL,Adarsh Rashtriya Vikas Party,478
None of the Above,None of the Above,7779
