Candidate,Party,Votes
SATISH CHANDRA DUBEY,Bharatiya Janata Party,364011
PURNMASI RAM,Indian National Congress,246218
BAIDYA NATH PRASAD MAHATO,Janata Dal (United),81612
DILIP VARMA,Independent,58817
AMAR SAHANI,Bharatiya Ekta Dal,35888
PROF. AMARESH PRASAD,Jharkhand Mukti Morcha,27603
VIRENDRA PRASAD GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),12581
SHAILESH KUMAR DIWAKAR,Bahujan Samaj Party,11668
MANOHAR MANOJ,Independent,11509
NANDLAL RAM,Independent,10781
DRAVYAN URAON,Independent,8013
DHARMESH PRASAD VARMA,Aam Aadmi Party,6008
DACTAR MAHTO,Janvadi Party(Socialist),5519
OM SHANTI BABA,Independent,4371
None of the Above,None of the Above,15515
