Candidate,Party,Votes
MUKESH RAJPUT,Bharatiya Janata Party,406195
RAMESHWAR SINGH YADAV,Samajwadi Party,255693
JAIVEER SINGH,Bahujan Samaj Party,114521
SALMAN KHURSHID,Indian National Congress,95543
SACHIN SINGH YADAV,Independent,58703
RAM KISHORE DIWEDI,Independent,4974
MALIKHAN SINGH ADVOCATE,Independent,4659
KISHAN PAL SINGH,Independent,2933
MO. TAMAJID,Peace Party,2655
MUKESH RAJPUT,Independent,2420
ANJU,Bhartiya Shakti Chetna Party,2254
VIMLA DEVI,Independent,2140
KRISHAN KUMAR DIXIT ALIAS K. K. DIXIT,RASHTRIYA VIKLANG PARTY,2107
ANSHU MAHAN,Independent,2066
DAYA SHANKAR,Adarsh Rashtriya Vikas Party,1864
TARIK PARVEZ,Aam Aadmi Party,1857
VRAHMA SARAN JATAV,Independent,1809
ANURAG RAJPUT,Independent,1605
IMAMUDDIN HUSAIN HUSAIN,Independent,1537
ANOKHEY LAL,Independent,1202
SURESH SARASWAT ALAIS ILLAYCHIWALA,Independent,1013
RAMNIWAS KATHERIA,Bahujan Mukti Party,941
None of the Above,None of the Above,1986
