Candidate,Party,Votes
CHARANJEET SINGH RORI,Indian National Lok Dal,506370
ASHOK TANWAR,Indian National Congress,390634
DR. SUSHIL INDORA,Haryana Janhit Congress (BL),241067
POONAM CHAND RATTI,Aam Aadmi Party,66844
MANGERAM,Bahujan Samaj Party,20750
COMRADE RAM KUMAR,Communist Party of India (Marxist),11194
RANVIR KHOBRA,Independent,7308
RAJBIR PALNA,Independent,5636
RAJ KUMAR NAGAR,Samajwadi Party,4208
MEWA SINGH,Independent,4136
SURENDER KUMAR (URF) MENPAL PHOOLA,Independent,3432
HANSRAJ HANSA,Jan Morcha,2901
SANJIV BHOJRAJ,VANCHITSAMAJ INSAAF PARTY,2350
BALWANT SINGH,Bharatiya Sant Mat Party,2201
JAGDISH,Independent,2145
JAIPAL BHATTI,Independent,1365
MANJEET SINGH,Independent,1334
FAKIR CHAND,Independent,1197
None of the Above,None of the Above,4033
