Candidate,Party,Votes
JAYADEV GALLA,Telugu Desam,618417
BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,549306
ABDUL WAHEED SHAIK,Indian National Congress,46818
MALLELA VENKATA RAO,Jai Samaikyandhra Party,5608
MALLELA BABU RAO,Bahujan Samaj Party,4223
UDAIA KUMAR MUSUKU,Indian Christian Secular Party,2852
DR. KOUTHARAPU RAVINDRA,Great India Party,2594
KATA VEERA VARA PRASAD,Aam Aadmi Party,2344
ABBURI KOTESWARA RAO,Pyramid Party of India,1636
EMANI CHANDRA SEKHAR RAO,Navodyam Party,1455
BITRA VENKATA SIVANNARAYANA,Independent,1169
ARUDALA VENKATESWARA RAO,Independent,908
None of the Above,None of the Above,7596
