Candidate,Party,Votes
DR. JITENDRA SINGH,Bharatiya Janata Party,487369
GHULAM NABI AZAD,Indian National Congress,426393
MOHD ARSHAD MALIK,Jammu & Kashmir Peoples Democratic Party,30461
PROF. BHIM SINGH,Jammu & Kashmir National Panthers Party,25312
DHARAM PAL BALGOTRA,Bahujan Samaj Party,16437
ANIL KHAJURIA,Independent,15188
NAZAKAT HUSSAIN,Independent,9217
BANSI LAL,Independent,7339
ANIL KUMAR GUPTA,Independent,5755
SHAM LAL,All J & K Kisan Majdoor Party,2187
GIRDHARI LAL,Bharatiya Bahujan Party,1971
SMT. AMRIT BARSHA,Samajwadi Party,1842
JAGDISH KUMAR,Jai Maha Bharath Party,1809
None of the Above,None of the Above,10478
