ID,STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
73,Gujarat,Patan,PARMAR BHAICHANDBHAI SOMABHAI,Republican Party of India Ektavadi,910
74,Gujarat,Patan,None of the Above,None of the Above,12061
75,Gujarat,Mahesana,PATEL JAYSHREEBEN KANUBHAI,Bharatiya Janata Party,580250
76,Gujarat,Mahesana,PATEL JIVABHAI AMBALAL,Indian National Congress,371359
77,Gujarat,Mahesana,THAKOR KEVALJI NATHAJI,Bahujan Samaj Party,9766
78,Gujarat,Mahesana,MAHMAD AZAM HAIDERKHAN PATHAN,Independent,6139
79,Gujarat,Mahesana,PRAJAPATI VITTHALBHAI VIRDAS,Independent,5982
80,Gujarat,Mahesana,GIRISHJI JENAJI DABHI,Bharatiya National Janta Dal,4825
81,Gujarat,Mahesana,SMT VANDANABEN DINESHKUMAR PATEL,Aam Aadmi Party,3731
82,Gujarat,Mahesana,THAKOR SAMARATJI BALVANTSINH,Independent,2427
83,Gujarat,Mahesana,THAKOR BABUJI DHANAJI,Independent,1804
84,Gujarat,Mahesana,THAKOR BALDEVJI MAGANJI,Independent,1653
85,Gujarat,Mahesana,ZALA INDRAJITSINH MAHENDRASINH,Samajwadi Party,1340
86,Gujarat,Mahesana,THAKOR MANSANGJI PUNJAJI,Bahujan Mukti Party,1251
87,Gujarat,Mahesana,CHAUDHARY DINESHBHAI SALUBHAI,Vishva Hindustani Sangathan,1084
88,Gujarat,Mahesana,PATEL DILIPBHAI SOMABHAI,Hindustan Janta Party,1032
89,Gujarat,Mahesana,None of the Above,None of the Above,11615
90,Gujarat,Sabarkantha,RATHOD DIPSINH SHANKARSINH,Bharatiya Janata Party,552205
91,Gujarat,Sabarkantha,SHANKERSINH VAGHELA BAPU,Indian National Congress,467750
92,Gujarat,Sabarkantha,BHAMBHI CHANDUBHAI MULCHANDBHAI,Bahujan Samaj Party,16665
93,Gujarat,Sabarkantha,SOLANKI CHHAGANBHAI KEVALABHAI,Independent,9795
94,Gujarat,Sabarkantha,PATEL BHOGILAL HARIBHAI,Bharatiya National Janta Dal,9046
95,Gujarat,Sabarkantha,VELANI SHANTILAL KARAMSHI,Independent,6816
96,Gujarat,Sabarkantha,BALUSINGH SOMANSINGH NARVE,Independent,3527
97,Gujarat,Sabarkantha,SHEKH ARIF KHAN,Samajwadi Party,2314
98,Gujarat,Sabarkantha,PATEL PURUSOTTAMBHAI AMBALAL,Independent,1876
99,Gujarat,Sabarkantha,PATEL ISHWARBHAI SAKRAJI,Independent,1674
100,Gujarat,Sabarkantha,None of the Above,None of the Above,22334
101,Gujarat,Gandhinagar,L.K.ADVANI,Bharatiya Janata Party,773539
102,Gujarat,Gandhinagar,KIRITBHAI ISHVARBHAI PATEL,Indian National Congress,290418
103,Gujarat,Gandhinagar,RITURAJ MEHTA,Aam Aadmi Party,19966
104,Gujarat,Gandhinagar,RAHUL CHIMANBHAI MEHTA,Independent,9767
105,Gujarat,Gandhinagar,VAGHELA KISHORSINH MAHOBATSINH,Independent,6705
106,Gujarat,Gandhinagar,NIRANJAN GHOSH,Bahujan Samaj Party,6068
107,Gujarat,Gandhinagar,M. K. SHAH,Independent,3767
108,Gujarat,Gandhinagar,RAJ PRAJAPATI,Independent,3177
109,Gujarat,Gandhinagar,AJMALBHAI RAMABHAI VANIYA,Bahujan Mukti Party,1639
110,Gujarat,Gandhinagar,BRAHMBHATT SANJAYBHAI AMARKUMAR,Independent,1474
111,Gujarat,Gandhinagar,BIRJUSINH MOTISINH KSHATRIYA,Independent,984
112,Gujarat,Gandhinagar,PAGI GANPATBHAI MAVJIBHAI,Independent,924
113,Gujarat,Gandhinagar,THAKOR RAVAJI JUHAJI,Vishva Hindustani Sangathan,809
114,Gujarat,Gandhinagar,DESAI KHODABHAI LALJIBHAI,Independent,793
115,Gujarat,Gandhinagar,DIPIKABEN SUTARIYA,Independent,684
