Candidate,Party,Votes
DR. MRIGANKA MAHATO,All India Trinamool Congress,468277
NARAHARI MAHATO,All India Forward Bloc,314400
NEPAL MAHATA,Indian National Congress,257923
BIKASH BANERJEE,Bharatiya Janata Party,86236
SUBARNA KUMAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),11266
MIHIR KUMAR RAJWAR,Bahujan Samaj Party,9850
AJIT PRASAD MAHATA,Jharkhand Vikas Morcha (Prajatantrik),9012
TAPAN KUMAR MAHATO,Jharkhand Mukti Morcha,7386
BAIDYANATH HANSDA,Jharkhand Disom Party,7168
MONBODH MAHATO,Independent,6774
DHIREN RAJAK,Independent,5584
PURNA CHANDRA TUDU,Independent,4073
None of the Above,None of the Above,16726
