Candidate,Party,Votes
KAUSHAL KISHORE,Bharatiya Janata Party,455274
R.K CHAUDHARY,Bahujan Samaj Party,309858
SUSHILA SAROJ,Samajwadi Party,242366
NARENDRA GAUTAM,Indian National Congress,52598
SUNIL GAUTAM,Aam Aadmi Party,10031
MAHESH KUMAR,Independent,7412
REENA CHAUDHARY,Independent,6304
AMIT RAWAT,All India Trinamool Congress,5115
SANTOSH KUMAR DHARKAR,Indian National League,4280
SHATROHANLAL RAWAT,Independent,4214
MEERA DEVI,Mahila Swabhiman Party,2425
GAUTAM BHARTI,Rashtriya Rashtrawadi Party,2225
GOPAL KANAUJIYA,Republican Party of India (A),1826
MEENA RAWAT,Naitik Party,1782
BRIJLAL,Samtawadi Republican Party,1632
MAHENDRA KUMAR RAWAT,Awami Samta Party,1617
JAGDISH PRASAD GAUTAM,Manavtawadi Samaj Party,1494
OM PRAKASH,Peace Party,1427
None of the Above,None of the Above,4708
