Candidate,Party,Votes
RENUKA SINHA,All India Trinamool Congress,526499
DIPAK KUMAR ROY,All India Forward Bloc,439392
HEM CHANDRA BARMAN,Bharatiya Janata Party,217653
KESHAB CHANDRA RAY,Indian National Congress,74540
GIRINDRA NATH BARMAN,Bahujan Samaj Party,15683
BANGSHI BADAN BARMAN,Independent,13205
KAMAL KRISHNA BAIRAGI,Rashtriya Janadhikar Suraksha Party,7125
NRIPEN KARJEE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),6742
HAREKRISHNA SARKAR,Republican Party of India (A),5796
PIJUSH BARMAN,Welfare Party Of India,5137
HITENDRA DAS,Independent,5059
DALENDRA NATH RAY,Amra Bangalee,4169
None of the Above,None of the Above,11409
