Candidate,Party,Votes
RAJENDRA AGARWAL,Bharatiya Janata Party,532981
MOHD.SHAHID AKHLAK,Bahujan Samaj Party,300655
SHAHID MANZOOR,Samajwadi Party,211759
NAGMA,Indian National Congress,42911
DR. (EX. MAJ) HIMANSHU SINGH,Aam Aadmi Party,11793
SUNIL DUTT,Independent,1734
MUKESH KUMAR,Independent,1542
MOHD.USMAN GHAZI,Rashtriya Apna Dal,1451
MOHD. SAJID SAIFI,Bahujan Mukti Party,1063
ATUL KHODAWAL,Independent,818
IQRA CHOUDHARY,Independent,734
APHAJAL,Independent,382
ANIL,Independent,348
None of the Above,None of the Above,5213
