Candidate,Party,Votes
SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,548179
MOHAMMED AZHARUDDIN,Indian National Congress,412868
JAGMOHAN MEENA,National Peoples Party,14600
MAKKHAN,Independent,10515
SURESH,Bahujan Samaj Party,10392
BABULAL JANGID,Independent,7195
CHANDAN LAL MEENA,Independent,6522
RAM PARKASH,Independent,6177
GOVIND PRASAD,Independent,3125
MUKESH,Aam Aadmi Party,2665
VARIS ALI,awami aamjan party,2361
DINESH SAINI,Jai Maha Bharath Party,2205
DINESH,All India Trinamool Congress,2147
KORI LAL,Independent,1924
KAMAL KUMAR DHOBI,Independent,1723
SAMPATTI BAI ALIAS SUNITA VERMA,Independent,1611
SIYA RAM,Independent,1104
HARI RAM,Independent,1045
RAM HANS,Naya Daur Party,867
RAMESH CHAND,Lok Dal,751
BHAR SINGH,Socialist Party (India),701
BAJARANG LAL,Rashtriya Ahinsa Manch,699
None of the Above,None of the Above,3664
