Candidate,Party,Votes
LAXMAN GILUWA,Bharatiya Janata Party,303131
GEETA KORA,Jai Bharat Samanta Party,215607
CHITRASEN SINKU,Indian National Congress,111796
DASHRATH GAGRAI,Jharkhand Vikas Morcha (Prajatantrik),35681
SALKHAN MURMU,Jharkhand Disom Party,25547
JOHN MIRAN MUNDA,All India Forward Bloc,16952
SNEHLATA JOJO,Independent,12877
RAJENDRA PURTY,Jharkhand Party,11507
MANOHAR SINKU,Bahujan Samaj Party,9303
RUPSINGH HEMBROM,Independent,8895
NAVEEN MURMU,Rashtriya Deshaj Party,8607
BUDHRAM LAGURI,Bahujan Mukti Party,8346
None of the Above,None of the Above,27037
