Candidate,Party,Votes
RAJENDRAN S,All India Anna Dravida Munnetra Kazhagam,482704
MUTHAIYAN K DR,Dravida Munnetra Kazhagam,289337
UMASANKAR K,Desiya Murpokku Dravida Kazhagam,209663
RANI K,Indian National Congress,21461
ANANDAN G,Communist Party of India (Marxist),17408
MUTHAIYAN N,Independent,4780
VENKATESAN M,Communist Party of India (Marxist-Leninist) (Liberation),3906
DEVI S,Independent,3443
KADRVEL M,Independent,3430
VENKATESAN S,Independent,2798
KARUNSIRUTHAI KALIYAMURTHI G,Bahujan Samaj Party,2683
RAMESH A,Independent,2663
ELUMALAI D,Independent,2337
SRINIVASAN K,Independent,2294
MUTHIYAN,Independent,1774
DESINGU K,Independent,1607
UMASANKAR M,Independent,1212
RAJAMANICKAM K,Independent,1197
ARASAN K,Independent,811
ARUMUGAM R,Independent,693
None of the Above,None of the Above,11440
