Candidate,Party,Votes
KRISTAPPA NIMMALA,Telugu Desam,604291
DUDDUKUNTA SREEDHAR REDDY,Yuvajana Sramika Rythu Congress Party,506966
G.C VENKATARAMUDU,Indian National Congress,36452
K.MOHAMMAD SHAMEER BASHA,Jai Samaikyandhra Party,4590
AMUDALA SUBRAMANYAM,Rayalaseema Parirakshana Samithi,4521
ANAND,Pyramid Party of India,3101
MADDIPATLA SUDHAKAR NAIDU,Independent,2332
D. SOMANATH,Independent,2032
CHINTA SARATH KUMAR REDDY,Independent,1275
APPIREDDYGARI KONDA REDDY,Independent,1257
K.PEDDA REDDI,Independent,1152
ASADULLAH K.M,Independent,1099
None of the Above,None of the Above,8189
