Candidate,Party,Votes
RAM TAHAL CHOUDHARY,Bharatiya Janata Party,448729
SUBODH KANT SAHAY,Indian National Congress,249426
SUDESH KUMAR MAHTO,AJSU Party,142560
AMITABH CHOUDHARY,Jharkhand Vikas Morcha (Prajatantrik),67712
BANDHU TIRKEY,All India Trinamool Congress,46126
VIKAS CHANDRA SHARMA,Communist Party of India (Marxist-Leninist) Red Star,14898
RAJENDRA SINGH MUNDA,Communist Party of India (Marxist),10178
AMANULLAH,Aam Aadmi Party,8497
KAFILUR RAHMAN,Independent,4696
YUGESHWAR MARAR "DEEN",Manav Mukti Morcha,4409
MAN SINGH MARDI,Jharkhand Party (Naren),4240
RAM LAL MAHTO,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4190
SURESH TOPPO,Jharkhand Disom Party,4085
BAHADUR URAON,Communist Party of India (Marxist-Leninist) (Liberation),3877
RANJIT MAHTO,Bahujan Mukti Party,3823
LAL JOTINDRA DEV,Akhil Bhartiya Jharkhand Party,3411
BALRAM KUMAR BEDIA,Independent,2889
DURGA MUNDA,Bahujan Samaj Party,2502
SAJIYA HAIDAR,Independent,2195
BISHESHWAR MAHTO,Samata Party,2130
ARSAD AYUB,Independent,2083
AMIT KUMAR SINGH,Independent,1987
CHINTAMANI MAHTO,Independent,1605
THADDEUS LAKRA,Independent,1504
BIRENDRA KUMAR JAISWAL,Independent,1366
RAMPODO MAHTO,Independent,1296
ANJANI PANDEY,Independent,1250
ABUL HASAN,Independent,1219
None of the Above,None of the Above,6900
