Candidate,Party,Votes
PROF. K.V. THOMAS,Indian National Congress,353841
CHRISTY FERNANDEZ,Independent,266794
A.N. RADHAKRISHNAN,Bharatiya Janata Party,99003
ANITHA PRATAP,Aam Aadmi Party,51517
K.V. BHASKARAN,Independent,22733
ZULFIKAL ALI,SOCIAL DEMOCRATIC PARTY OF INDIA,14825
RAJANEESH BABU,Independent,8246
P.D. CHANDRABHANU,Socialist Republican Party,6156
KISHORE,Independent,5011
K C KARTHIKEYAN,Bahujan Samaj Party,2685
DENSIL MENDEZ,Janata Dal (United),2630
N J PIOUS,Independent,2347
ADV. RADHAKRISHNAN P T,Independent,2104
ANIL KUMAR,Independent,1180
JUNO JOHN BABY,Independent,1077
KRISHNANKUTTY M.K.,Communist Party of India (Marxist-Leninist) Red Star,950
None of the Above,None of the Above,9735
