Candidate,Party,Votes
RAMVILAS PASWAN,Lok Jan Shakti Party,455652
SANJEEV PRASAD TONI,Indian National Congress,230152
RAM SUNDAR DAS,Janata Dal (United),95790
VIPHIYA DEVI,Independent,24399
DINA NATH RAM,Independent,21045
DHANESHWAR RAM,Bahujan Samaj Party,12688
UJJAWAL KANT HUNKAR,Bharatiya Momin Front,8957
UPENDER RAM,Independent,8896
SURESH PASWAN,Independent,7544
RAJ KR. PASWAN,Aam Aadmi Party,6344
VIRCHANDRA PASWAN,Samajwadi Party,4185
RINA RAGNI,Bahujan Mukti Party,3882
RANDHIR KUMAR RAM,Bajjikanchal Vikas Party,3711
SATYA NARAYAN PASWAN,All India Forward Bloc,3216
VIDHAN CHANDRA RANA,Samajwadi Janata Party (Rashtriya),3198
None of the Above,None of the Above,15094
