Candidate,Party,Votes
K C VENUGOPAL,Indian National Congress,462525
C B CHANDRABABU,Communist Party of India (Marxist),443118
PROF.A.V.THAMARAKSHAN,Revolutionary Socialist Party of Kerala (Bolshevik) RSP.B,43051
THULASEEDHARAN PALLICKAL,SOCIAL DEMOCRATIC PARTY OF INDIA,10993
D MOHANAN,Aam Aadmi Party,9414
ADV.M.A.BINDU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5921
P V NATESAN,Bahujan Samaj Party,3385
VENUGOPAL P C,Independent,3149
CHANDRABABU G,Independent,1615
T S BALAKRISHNAN,Independent,1363
S.B.BASHEER,Independent,709
JAYACHANDRAN SARASAMMA,Independent,481
M M PAULOSE,Independent,402
None of the Above,None of the Above,11338
