Candidate,Party,Votes
ADV.JOICE GEORGE,Independent,382019
ADV.DEAN KURIAKOSE,Indian National Congress,331477
ADV.SABU VARGHESE,Bharatiya Janata Party,50438
SILVI SUNIL,Aam Aadmi Party,11215
MUHAMMED SHARAFUDHEEN,SOCIAL DEMOCRATIC PARTY OF INDIA,10401
JOYCE GEORGE,Independent,6024
T.K.TOMY,Communist Party of India (Marxist-Leninist) Red Star,3971
JOICE GEORGE,Independent,3057
APPANCHIRA PONNAPPAN,Bahujan Samaj Party,2477
SOMINI PRABHAKARAN,Independent,1925
SHOBY JOSEPH,Independent,1179
JAMES JOSEPH,Independent,1158
ANISH MARIYIL,Independent,629
P.C.JOLLY,Independent,550
BIJU JOSEPH,Independent,493
ADV.CHITTOOR RAJAMANNAR,Independent,415
None of the Above,None of the Above,12338
