Candidate,Party,Votes
KONDA VISHWESHWAR REDDY,Telangana Rashtra Samithi,435077
PATLOLLA KARTIK REDDY,Indian National Congress,362054
TULLA VEERENDER,Telugu Desam,353203
CHAN PASHA,Akhil Bharatiya Muslim League (Secular),56835
KONDA RAGHAVA REDDY,Yuvajana Sramika Rythu Congress Party,40135
G.MALLESHAM GOUD,Independent,24660
SAMALA RAVINDAR,Bahujan Samaj Party,7732
REGATTE VENKAT REDDY,Aam Aadmi Party,7462
KUMMARI GIRI,Pyramid Party of India,5789
MD YUNUS MIYA,Marxist Communist Party of India (United),2904
DR. P. SADHU SATYANADHAN,Indian Christian Secular Party,2545
SUTHARAPU PADMAIAH,Andhra Pradesh Rashtra Samaikya Samithi Party,2214
SANIKE RAM GOPAL YADAV,Independent,2058
DR.GOLLA RAMAIAH,Telangana Loksatta Party,1765
SYED HASHMATHULLAH QUADRI,Indian Union Muslim League,1411
None of the Above,None of the Above,10018
