Candidate,Party,Votes
RAMA KISHORE SINGH,Lok Jan Shakti Party,305450
RAGHUVANSH PRASAD SINGH,Rashtriya Janata Dal,206183
VIJAY KUMAR SAHNI,Janata Dal (United),145182
ANU SHUKLA,Independent,104229
SHANKAR MAHTO,Bahujan Samaj Party,23677
DR. MOHAMMAD NABI HASSAN,Independent,22455
BALENDRA SINGH,Independent,15178
JITENDRA PRASAD,Independent,12369
RANJEET KUMAR JHA,Independent,11540
MD.HASIB,Rashtriya Samanta Dal,11075
MOHAMMAD UMAR ANSARI,Independent,8254
RAAJ MANGAL PRASAD,Aam Aadmi Party,7768
RAM PUKAR RAI,Independent,7182
VINOD PANDIT,Lokpriya Samaj Party,6430
MUKESH RAM,Rashtriya Krantikari Samajwadi Party,5497
RAMESHWAR SAH,Independent,5483
INDRADEO ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5218
PARMESHWAR RAM,Bahujan Mukti Party,4000
MD. NAUSHAD,VANCHITSAMAJ INSAAF PARTY,3866
JAYNARAYAN SAH,Bajjikanchal Vikas Party,3191
SANDHYA DEVI,Independent,2983
LALJI KUMAR RAKESH,Independent,2667
None of the Above,None of the Above,6060
