Candidate,Party,Votes
CHOUDHARY MAHBOOB ALI KAISER,Lok Jan Shakti Party,313806
KRISHNA KUMARI YADAV,Rashtriya Janata Dal,237803
DINESH CHANDRA YADAV,Janata Dal (United),220316
JAGDISH CHANDRA VASU,Communist Party of India (Marxist),24490
UMESH CHANDRA BHARTI,Independent,14926
DR. SWAMI VIVEKANAND,Aam Aadmi Party,14491
SATISH PRASAD SINGH,Independent,13888
MAKKHAN SAH,Samajwadi Janata Party (Rashtriya),6651
RAJESH KUMAR,Bahujan Samaj Party,6480
RAJEEV RANJAN,Lok Dal,5722
BRAHAMDEO MUKHIA,Rashtriya Naujawan Dal,5215
GANESH MUKHIYA NISHAD,Sarvajan Kalyan Loktantrik Party,4522
TEJ BAHADUR SINGH,Proutist Sarva Samaj,4053
None of the Above,None of the Above,23868
