Candidate,Party,Votes
ANWHAR RAAJHAA.A,All India Anna Dravida Munnetra Kazhagam,405945
MOHAMED JALEEL .S,Dravida Munnetra Kazhagam,286621
KUPPURAMU .D,Bharatiya Janata Party,171082
THIRUNNAVUKKARASAR .SU,Indian National Congress,62160
NOOR JIYAVUDEEN.M.I,SOCIAL DEMOCRATIC PARTY OF INDIA,12541
UMA MAGESWARI R.T.,Communist Party of India,12312
ARASAKUMAR B.T.,Desiya Forward Bloc,10945
GOPAL .R,Independent,3969
GOKILA .K,Independent,3471
ANNAMALAI .S,Independent,3125
MANIVASAGAM,Independent,2684
SIVAGURUNATHAN .K,Bahujan Samaj Party,2123
KASIRAJAN .N,Independent,1415
PALPANDI .C,Independent,1355
THENNARASU .P,Independent,1321
SASI KUMAR .S,Independent,1220
BALAKRISHNAN .S.S.,Independent,1171
SATHIAH .G,Independent,1129
THIAGARAJAN .R,Independent,1037
KANNATHASAN .R,Independent,999
PERIYASAMY .P,Independent,985
AMIRTHALINGAM .U,Independent,941
VETRIVEL .S,Independent,914
AZHAGU MEENA .A,Independent,835
MURUGESWARI,Independent,814
AYYAPPAN .S,Independent,785
ALLAPICHAI .E,Independent,747
SUBBIAH .M,Independent,645
VELCHSAMY .R,Independent,577
RAVI .K,Independent,478
MOOKAIYA .S,Independent,423
None of the Above,None of the Above,6279
