Candidate,Party,Votes
DEVENDRA SINGH @ BHOLE SINGH,Bharatiya Janata Party,481584
ANIL SHUKLA WARSI,Bahujan Samaj Party,202587
LAL SINGH TOMAR,Samajwadi Party,147002
RAJARAM PAL,Indian National Congress,96827
ARVIND KUMAR,Aam Aadmi Party,7914
BHARTI DEVI PASI ADVOCATE,Independent,5432
MUNNI DEVI,Independent,5331
VIJAY KUMAR SHARMA,Independent,4285
RAM SEVAK,Independent,3403
RAMENDRA SINGH TOMAR,Bhartiya Shakti Chetna Party,2754
NEERAJ KUMAR ADVOCATE,Independent,2259
AMAR SINGH,Janvadi Party(Socialist),1890
ASHOK YADAV,Independent,1853
RAMA KANT VERMA,Peace Party,1350
JASWANT SINGH,Bahujan Mukti Party,1037
DR. BAJARANG PRATAP SONKAR,Samtawadi Republican Party,799
DR. OMKAR NATH KATIYAR,Al-Hind Party,597
GOPI RAMAN,Janata Dal (United),523
None of the Above,None of the Above,3948
