Candidate,Party,Votes
PARESH RAWAL,Bharatiya Janata Party,633582
PATEL HIMMATSINGH PRAHLADSINGH,Indian National Congress,306949
DINESH VAGHELA,Aam Aadmi Party,11349
ROHIT RAJUBHAI VIRJIBHAI ALIAS MANOJBHAI SONTARIYA,Bahujan Samaj Party,6023
ROSHAN PRIYAVADAN SHAH,Independent,4046
DASHRATHBHAI M. DEVDA,Independent,2299
ANILKUMAR SHARMA,Independent,1201
ATIKBHAI MEV,Independent,1094
ADITYA RAVAL,Vishva Hindustani Sangathan,987
KHALIFA SAMSUDDIN NASIRUDDIN (JUGNU),Akhil Bharatiya Congress Dal (Ambedkar),895
NARANBHAI T. SENGAL (DR.N.T.SENGAL),Bahujan Suraksha Dal,782
VIJAYKUMAR M. VADHEL,Hindusthan Nirman Dal,704
BUDDHPRIYA JASVANT SOMABHAI,Prajatantra Aadhar Party,698
DUTT AAKASH - ADVOCATE,Janata Dal (United),558
None of the Above,None of the Above,14358
