Candidate,Party,Votes
ANBUMANI RAMADOSS,Pattali Makkal Katchi,468194
MOHAN.P.S,All India Anna Dravida Munnetra Kazhagam,391048
THAMARAISELVAN.R,Dravida Munnetra Kazhagam,180297
RAMA SUGANTHAN,Indian National Congress,15455
RAJINIKANTH.S,Bahujan Samaj Party,8180
PADMARAJAN.K.DR,Independent,4934
ANGURAJ.P,Independent,3905
SAVITHIRI.K,Ulzaipali Makkal Katchy,3164
ARIVAZHAGAN.P,Independent,2802
KUMARAN.V,Independent,2413
NATARAJAN.R,Independent,2199
ANANDKUMAR.K,Independent,1978
ARIVUDAINAMBI.M,Independent,1403
ANBUMANI.G,Independent,1370
SAMBATH.M,Independent,1310
None of the Above,None of the Above,12693
