Candidate,Party,Votes
H.D. DEVEGOWDA,Janata Dal (Secular),509841
MANJU. A.,Indian National Congress,409379
C.H. VIJAYASHANKAR,Bharatiya Janata Party,165688
A.P. AHAMAD,Bahujan Samaj Party,18905
SANTHOSH MOHAN,Aam Aadmi Party,8018
H.D. REVANNA,Karunaadu Party,6798
S.B. RAJEGOWDA,Independent,3841
MANJUNATHA,Bharatiya Dr. B.R.Ambedkar Janta Party,3536
RUDREGOWDA,Jai Vijaya Bharathi Party,3262
M.MAHESH (HARSHA),Independent,3062
S.N. MALLAPPA,Independent,2388
T.D. JAGADEESHA,Independent,2083
JAVARAIAH,Independent,1581
DR. BANUPRAKASH. K,Independent,1456
None of the Above,None of the Above,7334
