Candidate,Party,Votes
BHAGWANTH KHUBA,Bharatiya Janata Party,459290
N. DHARAM SINGH,Indian National Congress,367068
BANDEPPA KHASHEMPUR,Janata Dal (Secular),58728
SHANKAR BHAYYA,Bahujan Samaj Party,15079
BALBHEEM VEERAPPA UNNE,Independent,7118
ISMAIL ZABI ULLAH,Independent,5818
PRABHU,Independent,5097
CHANDRAKANT,Aam Aadmi Party,4540
MACHENDAR,Independent,4379
ABDUL HAMEED FARAAN,Welfare Party Of India,3747
BABU PASHA,Independent,2869
SHRAVANA S.BHANDE MUNGANAL,Rashtriya Samaj Paksha,2862
KALLALING HUGAR NELOGI,Independent,2307
NAGANATH PATIL,Independent,2204
MOHAMMED RAFIQ,Independent,2095
RAMESH GAYKAWAD,Ambedkar National Congress,1976
SIDDARAMAPPA NAGAPPA KARABASTI CHINCHANSOOR,Independent,1742
MIRZA SHAFEE BAIG,Independent,1462
GOVIND,Samajwadi Party,1427
HATTARKI YASHWANTHRAO SHIVARAYA,Bharatiya Peoples Party,1414
SUBHASH BHIMSHA SINDANKERA,Independent,1406
RAMANNA,Hindustan Janta Party,1378
SYED WAHEED,Bahujan Mukti Party,1302
SHAMALA.M.UDANOOR,Independent,1259
None of the Above,None of the Above,2817
