Candidate,Party,Votes
JYOTI DHURVE,Bharatiya Janata Party,643651
AJAY SHAH "MAKRAI",Indian National Congress,315037
RAJESH SARIYAM,Aam Aadmi Party,20627
SOHAN LAL UIKEY,Bahujan Samaj Party,16461
BHUPENDRA SINGH UIKEY,Independent,12933
FAGRAM,Samajwadi Jan Parishad,4668
KALLUSHING KUMRE,Gondvana Gantantra Party,4546
GABBAR SINH WARKADE,Bahujan Mukti Party,3070
None of the Above,None of the Above,26726
