Candidate,Party,Votes
BRIJ BHUSAN SHARAN SINGH,Bharatiya Janata Party,381500
VINOD KUMAR ALIAS PANDIT SINGH,Samajwadi Party,303282
KRISHNA KUMAR OJHA,Bahujan Samaj Party,146726
MUKESH SRIVASTAV ALIAS GYANENDRA PRATAP,Indian National Congress,57401
RAMPHER ALIAS CHUNTI,Independent,11366
GOVIND PRASAD,Samyak Parivartan Party,5849
MUNNI,Independent,5245
JAMEER AHMAD,Independent,3905
PRAHLAD NATH MISHRA,Independent,3867
RIZWAN AHMAD,Aam Aadmi Party,3710
NISHANT KANCHAN,Independent,3246
NIHALUDDIN AHAMAD,All India Peoples' Front (Radical),2119
CHAMAN LAL KASAUNDHAN,Lok Dal,1822
NIRHU,Communist Party of India (Marxist-Leninist) Red Star,1466
None of the Above,None of the Above,11853
