Candidate,Party,Votes
RADHA MOHAN SINGH,Bharatiya Janata Party,400452
BINOD KUMAR SRIVASTAVA,Rashtriya Janata Dal,208289
AVANEESH KUMAR SINGH,Janata Dal (United),128604
SHAMBHU DAS,Independent,11371
DILIP SINGH,Independent,10759
PRAMOD KUMAR PANDEY,Independent,10505
SURESH PASWAN,Bahujan Samaj Party,10356
AMIT KUMAR CHOUBEY,Aam Aadmi Party,7512
SHATRUGHAN TIWARI,Bajjikanchal Vikas Party,4893
PARAS NATH PANDEY,Janvadi Party(Socialist),3027
PAWAN KUMAR,Kalinga Sena,2946
ANIL KUMAR SINGH,Jai Maha Bharath Party,2819
MOQIM ANSARI,Jammu & Kashmir National Panthers Party,2811
MD. NASIRUDDIN,Janta Dal Rashtravadi,2607
RAGHUNATH GUPTA,Samajwadi Party,2459
None of the Above,None of the Above,13261
