Candidate,Party,Votes
CHANDU LAL SAHU (CHANDU BHAIYA),Bharatiya Janata Party,503514
AJIT JOGI,Indian National Congress,502297
CHANDU LAL SAHU,Independent,20255
CHANDU LAL SAHU,Independent,12308
CHANDU LAL SAHU,Independent,10797
KANHAIYA LAL SAHU,Bahujan Samaj Party,10600
CHANDU LAL SAHU,Independent,7091
ABHA PANDEY (GUDIA),Chhattisgarh Swabhiman Manch,5868
LAKSHMAN MASTURIYA,Aam Aadmi Party,5524
CHANDU LAL SAHU,Independent,5497
CHANDOO LAL SAHU,Independent,4718
HEMANT PRADHAN,Independent,3911
CHANDU RAM SAHU,Independent,3732
SUKHNANDAN DESHKAR,Independent,3670
PREETI DHRUW,Gondvana Gantantra Party,3090
CHAMPA LAL PATEL,Independent,2409
CHANDU LAL SAHU,Independent,2268
CHANDURAM SAHU,Independent,2167
PATEL SHRI DHAR CHANDRAKAR,Apna Dal,1665
CHANDU RAM SAHU,Independent,1628
VIJAY KUMAR PATEL,Independent,1523
MOHAN LAL PATEL,Bhartiya Shakti Chetna Party,1395
DR. RUPANAND SOI,Independent,1338
GANGADHAR PATEL,Independent,1279
DEV PRASAD KELKAR,Independent,1053
MOTI LAL SAHU,Independent,904
MOTILAL SAHU,Independent,753
None of the Above,None of the Above,9955
