Candidate,Party,Votes
R. RADHAKRISHNAN,All India N.R. Congress,255826
V. NARAYANASAMY,Indian National Congress,194972
M.V. OMALINGAM,All India Anna Dravida Munnetra Kazhagam,132657
A.M.H. NAZEEM,Dravida Munnetra Kazhagam,60580
R.K.R. ANANTHARAMAN,Pattali Makkal Katchi,22754
R. VISWANATHAN,Communist Party of India,12709
DR. V. RANGARAJAN,Aam Aadmi Party,8307
SANJIVGANTHI .S,Independent,5896
P. ASARAVEL,Independent,3472
PROFESSOR M. RAMADASS,Independent,2494
S. KRISHNAMOORTHY,Bahujan Samaj Party,2060
S. EZHILARASAN,Independent,1777
G. SHANMUGAM,Independent,1726
RAMAMURTHI,Independent,1442
M. CHITTIBABU,Independent,1340
S. SUDARSANAN,Independent,1270
K. RAMADASS,Independent,1236
J. DHANDAPANI,Independent,1144
K. MANJINI,Independent,767
KALIAYAMURTHY,Independent,747
V. VIJAYA,Independent,746
P. BAKKIARAJ,Independent,610
R. VALAVAN,Independent,497
I. SENTHIL KUMAR,Independent,477
G. SUTHA,Independent,467
PUVALA NAGESWARA RAO,Independent,465
G. PALANI,Communist Party of India (Marxist-Leninist) (Liberation),438
MARIE UTHRIANATHAN,Samata Party,366
S. CHITRAKALA,Janata Dal (United),309
P. DHANARASU @ MATHIMAHARAJA,Independent,198
None of the Above,None of the Above,22268
