Candidate,Party,Votes
UPENDRA KUSHWAHA,Rashtriya Lok Samta Party,338892
KANTI SINGH,Rashtriya Janata Dal,233651
MAHABALI SINGH,Janata Dal (United),76709
SANJAY KEWAT,Bahujan Samaj Party,45503
RAJA RAM SINGH,Communist Party of India (Marxist-Leninist) (Liberation),32686
SATYA NARAYAN SINGH,Independent,9919
PRADEEP KUMAR JOSHI,Rashtra Sewa Dal,6994
BHAIRAW DAYAL SINGH,Independent,6974
GHULAM KUNDANAM,Aam Aadmi Party,6938
RAM DAYAL SINGH,Independent,5459
RAJANI DUBEY,Akhil Bharatiya Jan Sangh,4795
VEENA BHARTI,Janvadi Party(Socialist),4002
MD. DILBAS ANSARI,Independent,2813
DINESH KUMAR,Bahujan Mukti Party,2359
IMRAN ALI,Independent,2048
None of the Above,None of the Above,10185
