Candidate,Party,Votes
ANOOP MISHRA,Bharatiya Janata Party,375567
BRINDAWAN SINGH SIKARWAR,Bahujan Samaj Party,242586
DR GOVIND SINGH,Indian National Congress,184253
DEVENDRA KUMAR AGRVAL,Aam Aadmi Party,13806
SIYARAM SINGH CHOUDRI,Independent,6471
RAJESH KUSHWAH,Samajwadi Party,5554
SATANDRA SINGH (TONY TOMAR),Independent,4347
RAM NARESH,Independent,3546
ARJUN SINGH (PAPPU KUSHWAH),Rashtriya Samanta Dal,3006
VISNU SHARMA VIRTHARE,All India Trinamool Congress,2114
CHHAVENDRA,Independent,1969
JAYANT SINGH TOMAR,Loktantrik Samajwadi Party,1429
SHAKTI SINGH TOMAR,Rashtriya Ahinsa Manch,1145
KULDEEP SINGH,Independent,1058
MANESH KUMAR RAWAT,Jai Maha Bharath Party,975
ANOOP NAGAR,Independent,852
AKASH GUPTA,Independent,809
None of the Above,None of the Above,4792
