Candidate,Party,Votes
VIJAY SAMPLA,Bharatiya Janata Party,346643
MOHINDER SINGH KAYPEE,Indian National Congress,333061
YAMINI GOMAR,Aam Aadmi Party,213388
BHAGWAN SINGH CHAUHAN,Bahujan Samaj Party,40497
PAWAN KUMAR,Independent,3216
RAVI DUTT,Independent,2564
SHAMSHER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2527
ANOOP SINGH,Bharti Jan Suraksha Party,2158
BISHAN DASS,Independent,1853
RAM KISHAN,Independent,1689
DAVINDER SINGH,Independent,1488
DEEPAK KUMAR,Bahujan Mukti Party,1446
JASWINDER SINGH,Shivsena,1230
LAKHVIR SINGH,Democratic Bharatiya Samaj Party,1062
ANU KUMAR,Independent,911
VIJAY KUMAR,SARVAJAN SAMAJ PARTY (D),889
OM PARKASH JAKHU,Independent,699
None of the Above,None of the Above,5976
