Candidate,Party,Votes
JUAL @ JUEL ORAM,Bharatiya Janata Party,340508
DILIP KUMAR TIRKEY,Biju Janata Dal,321679
HEMANAND BISWAL,Indian National Congress,269335
JUSTIN LUGUN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),9472
BAGI LAKRA,Bahujan Samaj Party,9460
LAWRENCIA LAKRA,Independent,9001
SAGAR SINGH MANAKI,Kosal Kranti Dal,8448
BASIL EKKA,Aam Aadmi Party,7429
MANSID EKKA,Independent,7282
DAS CHARAN MAJHI,Jharkhand Disom Party,4408
SATISH KUMAR MINZ,Independent,3951
LILY PREMA KUJUR,Bahujan Mukti Party,3903
None of the Above,None of the Above,15835
