Candidate,Party,Votes
RAJESH RANJAN @ PAPPU YADAV,Rashtriya Janata Dal,368937
SHARAD YADAV,Janata Dal (United),312728
VIJAY KUMAR SINGH,Bharatiya Janata Party,252534
GULJAR KUMAR,Bahujan Samaj Party,18084
RAJO SAH,Independent,12247
MOHAMMAD ARSHAD HUSSAIN,Peace Party,9585
ANWAR ALAM,Aam Aadmi Party,9538
MINA DEVI,Independent,9039
BHIKHA PASWAN,Bharat Vikas Morcha,6649
PRASANNA KUMAR,Independent,5370
SAJAN KUMAR JHA,Jai Maha Bharath Party,4396
CHANDRASHEKHAR YADAV,Bahujan Mukti Party,3768
None of the Above,None of the Above,21924
