Candidate,Party,Votes
SULTAN AHMED,All India Trinamool Congress,570785
SABIR UDDIN MOLLA,Communist Party of India (Marxist),369563
RANJIT KISHORE MOHANTY,Bharatiya Janata Party,137137
ASIT MITRA,Indian National Congress,67826
ABUL QASEM,Indian Unity Centre,6607
HASAN NAWAJ,All India United Democratic Front,5709
DILIP KUMAR HAIT,Independent,3947
REKHA DAS,Bahujan Samaj Party,3918
SUSANTA KUMAR DALUI,Independent,2990
MINATI SARKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2902
RAMESH DHARA,Independent,2529
ASHIS KUMAR DAS,Independent,2437
SUJATA DUTTA,Bahujan Mukti Party,1400
None of the Above,None of the Above,8277
