Candidate,Party,Votes
PROF. SADHU SINGH,Aam Aadmi Party,450751
PARAMJIT KAUR GULSHAN,Shiromani Akali Dal,278235
JOGINDER SINGH,Indian National Congress,251222
KASHMIR SINGH,Communist Party of India,14573
SANT RAM,Bahujan Samaj Party,8282
SATPAL SINGH,Indian Krantikari Lehar,3680
JOGINDER SINGH S/O KESAR SINGH,Independent,2667
REENA KUMARI,Independent,2473
MANGAT RAM MANGA,Shivsena,2213
SEEMA RANI,Independent,1726
JASVEER SINGH,Independent,1693
PARAMJEET KAUR W/O GURPREET SINGH,Independent,1623
DARSHAN SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1605
GURCHARAN SINGH,Republican Party of India,1531
MOTI LAL,Bharatiya Sant Mat Party,1512
JARNAIL SINGH,Nav Bharat Democratic Party,1358
PARAMJIT KAUR W/O AMRIK SINGH,Bahujan Mukti Party,1159
BADAL SINGH,Independent,1123
GOBIND SINGH,Republican Party of India (A),865
None of the Above,None of the Above,3816
