Candidate,Party,Votes
ARKA KESHARI DEO,Biju Janata Dal,370871
PRADIPTA KUMAR NAIK,Bharatiya Janata Party,314524
BHAKTA CHARAN DAS,Indian National Congress,307967
SIBA HATI,Samajwadi Party,18869
SAROJ KUMAR NAIK,Bahujan Samaj Party,14115
RAJENDRA KUMAR MUND,Independent,10839
DAITARY PRADHAN,Aama Odisha Party,8698
BIGHNA RAJ PANDA,Samruddha Odisha,8600
CHHABILAL NIAL,Ambedkarite Party of India,8299
SUNIL CHANDRA NAYAK,Odisha Jan Morcha,7329
SATYA NARAYAN MAHAR,Aam Aadmi Party,6360
SAHADEV JAL,Bahujan Mukti Party,5858
BAIKUNTHA DHANGADA MAJHI,Kalinga Sena,5007
BALARAM HOTA,Communist Party of India (Marxist-Leninist) (Liberation),4885
PARAMESWAR KAND,Samata Kranti Dal,4435
None of the Above,None of the Above,20880
