Candidate,Party,Votes
RAMESH CHANDER,Bharatiya Janata Party,347203
JAGBIR SINGH MALIK,Indian National Congress,269789
PADAM SINGH,Indian National Lok Dal,264404
JAI SINGH,Aam Aadmi Party,48597
SUMAN SINGH,Bahujan Samaj Party,24103
SUKHBIR SINGH,Independent,5533
RAMESH,Independent,4405
SANJAY,Independent,3950
BHUPESHWAR DAYAL,Independent,2525
MANOJ KUMAR,Independent,2417
HARI PARKASH COMRADE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1757
PADAM SINGH,Independent,1375
BIJENDER KUMAR,Independent,965
SANT DHARAMVIR CHOTIWALA,Independent,943
GULAB SINGH,Poorvanchal Rashtriya Congress,916
SITENDER SINGH,Independent,899
DALBIR SINGH CHAHAL,Rashtravadi Janata Party,671
JASWANT,Independent,656
SATYA NARAYAN,Independent,550
ASHOK KUMAR VASHISHTH,Republican Party of India (A),492
ANIL KUMAR,Rashtriya Bahujan Hitay Party,468
JAGBIR,Independent,357
ANUP SING DAHIYA,Rashtriya Jatigat Aarakshan Virodhi Party,259
None of the Above,None of the Above,2403
