Candidate,Party,Votes
SIRAJ UDDIN AJMAL,All India United Democratic Front,394702
CHANDRA MOHAN PATOWARY,Bharatiya Janata Party,352361
ISMAIL HUSSAIN,Indian National Congress,277802
PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,73733
UDDHAB BARMAN,Communist Party of India (Marxist),27575
SAMSUL HOQUE,Independent,24444
DILIR KHAN,Independent,20135
DR. PERVEZ ALI AHMED,All India Trinamool Congress,10944
KHURSHIDA ANOWARA BEGUM,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5710
KAMAL UDDIN,Independent,3433
ABUL AWAL,Samajwadi Party,3099
ENTAZ ALI,Lok Bharati,1937
GAUTAM KUMAR SARMA,Independent,1859
BHADRESWAR BARMAN,Independent,1695
BARUN KARMAKAR,Independent,1649
None of the Above,None of the Above,4785
