Candidate,Party,Votes
SONIA GANDHI,Indian National Congress,526434
AJAY AGRAWAL,Bharatiya Janata Party,173721
PRAVESH SINGH,Bahujan Samaj Party,63633
ARCHANA SRIVASTAVA,Aam Aadmi Party,10383
SHAKIL AHAMAD,Independent,7914
PRAMOD KUREEL,Independent,6688
KIRAN CHAUDHARI,Bahujan Mukti Party,5205
MANGAL SAIN,Independent,4418
SAHADAT ALI KHAN,Independent,3538
ANJU SINGH,All India Trinamool Congress,3507
SURESH CHANDRA,Manavtawadi Samaj Party,3330
KAILASH KUMAR,Hindustan Krantikari Dal,2645
SAHAR NAQVI,Lok Dal,2108
RATIRAM,Samtawadi Republican Party,1661
MOHAMMAD ASHRAF,VANCHITSAMAJ INSAAF PARTY,1586
SHIV SEWAK,Rashtriya Ahinsa Manch,1493
JAWAHAR LAL,Nehru Janhit Congress,1463
None of the Above,None of the Above,5409
