Candidate,Party,Votes
RABINDRA KUMAR JENA,Biju Janata Dal,433768
PRATAP CHANDRA SARANGI,Bharatiya Janata Party,291943
SHRIKANTA KUMAR JENA,Indian National Congress,277517
PRASANTA KUMAR MISHRA,Communist Party of India,14538
KARTIKESWAR PATRA,All India Trinamool Congress,9856
SAROJ KUMAR PANDA,Independent,4529
BICHITRA NANDA DAS,Bahujan Samaj Party,3240
MAMATA KUNDU,Aam Aadmi Party,2664
JAGANNATH DAS,Independent,1856
BISWAJIT RAY,Independent,1823
None of the Above,None of the Above,7716
