Candidate,Party,Votes
HEMA MALINI,Bharatiya Janata Party,574633
JAYANT CHAUDHARY,Rashtriya Lok Dal,243890
PT. YOGESH KUMAR DWIVEDI,Bahujan Samaj Party,173572
CHANDAN SINGH,Samajwadi Party,36673
HEMA MALINI,Independent,10158
ANUJ KUMAR GARG,Aam Aadmi Party,7858
RADHACHARAN,Independent,4795
OM PRAKASH,Independent,2847
BHUDEV,Independent,2715
SATISH CHANDRA SHARMA,Independent,2675
MAHESH PRATAP SHARMA,Rashtriya Vikas Party,2396
FAKKAR BABA 'RAMAYANI',Independent,2160
RAM BABU SAINI,Independent,2082
THAKUR HEMENDRA VEER SINGH,Sarva Samaj Kalyan Party,1858
PRAMOD KRISHNA,Independent,1759
PARSOTTAM,Rashtriya mahan Gantantra Party,1338
PT. UDYAN SHARMA 'MUNNA',Peace Party,1066
BHUPENDRA KUMAR DHANGAR,Rashtriya Shoshit Samaj Party,1054
MOHAN SHYAM,Gareeb Aadmi Party,731
MAHARAM SINGH,Bahujan Mukti Party,655
None of the Above,None of the Above,1953
