Candidate,Party,Votes
CHAUHAN DEVUSINH JESINGBHAI (CHAUHAN DEVUSINH),Bharatiya Janata Party,568235
DINSHA PATEL,Indian National Congress,335334
ROSHAN PRIYAVADAN SHAH,Independent,7442
PANDAV BHAILALBHAI KALUBHAI,Bahujan Samaj Party,5791
BADHIWALA LABHUBHAI JIVRAJBHAI,Aam Aadmi Party,3742
RATANSINH UDESINH CHAUHAN,Independent,3495
MALEK SABIRHUSEN ISMAELBHAI,Independent,2720
CHAUHAN DEVUSING MOTISHING,Independent,1860
MALEK SADIK HUSHEN MAHAMMD HUSHEN,Independent,1444
ABDUL RAZAKKHAN PATHAN,Apna Desh Party,1024
MALEK YAKUBMIYA NABIMIYA,Independent,955
RANVEER PRANAYRAJ GOVINDBHAI,Bahujan Mukti Party,944
KHRISTI ADWARD KHUSHALBHAI,Independent,938
PARIKH VIRAL HASMUKHBHAI,Independent,846
PATHAN AMANULLAKHA SITABKHA,Independent,803
None of the Above,None of the Above,20333
