Candidate,Party,Votes
PARVESH SAHIB SINGH VERMA,Bharatiya Janata Party,651395
JARNAIL SINGH,Aam Aadmi Party,382809
MAHABAL MISHRA,Indian National Congress,193266
JARNAIL SINGH,Independent,84722
RAJ PAL SINGH,Bahujan Samaj Party,8707
JARNAIL SINGH,Independent,5960
SUNIL SOURABH,Independent,3624
VIRENDER MOHAN VATS,Independent,3078
BABU SINGH DUKHIYA,Independent,1654
ISTAK KHAN,Independent,988
UDAY KUMAR SINGH KUSHWAHA,Bahujan Mukti Party,805
HAR GOBIND ARORA,Shivsena,703
DINESH KUMAR KUSHWAHA,Akhand Bharat Samaj Party,651
RAKESH KUMAR,Bhartiya Janta Dal (Integrated),458
CHARAN JEET SINGH KHALSA,All India Forward Bloc,451
DEEPAK KUMAR,Rashtriya Janadhikar Party,415
KARAM CHAND LATHWAL,Bhartiya Pragatisheel Congress,353
None of the Above,None of the Above,7932
