Candidate,Party,Votes
N.K.PREMACHANDRAN,Revolutionary Socialist Party,408528
M.A. BABY,Communist Party of India (Marxist),370879
P.M. VELAYUDHAN,Bharatiya Janata Party,58671
A.K.SALAHUDEEN,SOCIAL DEMOCRATIC PARTY OF INDIA,12812
ADV.S.PRAHLADAN,Bahujan Samaj Party,4266
M. BABY,Independent,3364
V.S. PREMACHANDRAN,Independent,3333
K. BHASKARAN,Independent,3108
R. PREMACHANDRAN,Independent,2808
C. INDULAL EX-SERVICE MAN,Independent,1709
A. JOSEKUTTY,Independent,1702
None of the Above,None of the Above,7876
