Candidate,Party,Votes
LILADHARBHAI KHODAJI VAGHELA,Bharatiya Janata Party,518538
RATHOD BHAVSINHBHAI DAHYABHAI,Indian National Congress,379819
PARMAR MAGANBHAI AMARABHAI,Bahujan Samaj Party,9900
VAGHDA JIVABHAI DEVABHAI,Independent,7492
GOVINDJI OKHAJI THAKOR,Janata Dal (United),6188
MOLAPIYA ABDULKUDUS ABDULMAJID,Independent,5629
JAKASIJI JOGAJI THAKOR,Bahujan Mukti Party,2760
BHORANIYA SOYABBHAI HASAMBHAI,Independent,2550
CHHAGANBHAI NARANBHAI PRAJAPATI,Independent,2539
JAGRALA IMRAN MAHEMUD,Independent,1978
BABUBHAI KARSHANBHAI RABARI,Samajwadi Party,1843
IMRANKHAN MAHMADKHAN NAGORI,Independent,1840
DESAI ISHWARBHAI MAHADEVBHAI,Independent,1752
PARMAR BHAICHANDBHAI SOMABHAI,Republican Party of India Ektavadi,910
None of the Above,None of the Above,12061
