Candidate,Party,Votes
SIDHANT MOHAPATRA,Biju Janata Dal,398107
CHANDRA SEKHAR SAHU,Indian National Congress,270387
RAMA CHANDRA PANDA,Bharatiya Janata Party,158811
ALI KISHOR PATNAIK,Communist Party of India (Marxist),35968
DHANADA KANTA MISHRA,Aam Aadmi Party,8248
SRIHARI PATANAIK,Independent,4081
ASWINI KUMAR PADHY,Bahujan Samaj Party,3865
A. RAGHUNATH VARMA,Independent,3719
K. SHYAMBABU SUBUDHI,Independent,3383
MANOJ CHOUDHURY,All India Trinamool Congress,3314
BIDHAN CHANDRA PANDA,Samata Kranti Dal,2773
None of the Above,None of the Above,12706
