Candidate,Party,Votes
ANJU BALA,Bharatiya Janata Party,412575
ASHOK KUMAR RAWAT,Bahujan Samaj Party,325212
JAI PRAKASH,Samajwadi Party,194759
OM PRAKASH,Indian National Congress,33075
HANS MUKHI KATHERIA,Independent,8635
SWADESH KUMAR,Independent,2970
KANEDI,Bahujan Mukti Party,2773
RAMPAL,Independent,2234
SHABNUM,Independent,1785
RAJESH KUMAR S/O PARMESHWAR DEEN,Bharatiya Republican Paksha,1158
HARINAM,Socialist Party (India),1003
RAJESH KUMAR S/O BABOORAM,Independent,951
NAGPAL,Bhartiya Krishak Dal,847
MANSHARAM GAUTAM,Communist Party of India (Marxist-Leninist) Red Star,704
None of the Above,None of the Above,9633
