Candidate,Party,Votes
GOKARAJU GANGA RAJU,Bharatiya Janata Party,540306
VANKA RAVINDRANATH,Yuvajana Sramika Rythu Congress Party,454955
KANUMURU BAPI RAJU,Indian National Congress,27083
GITADAS DAS,Prem Janata Dal,23270
CHINTAPALLI KANAKA RAO,Bahujan Samaj Party,8489
SAROJA POLASAPALLI,Jai Samaikyandhra Party,6840
NALLI RAJESH,Republican Paksha (Khoripa),6708
S.V.P.K.H.G.KRISHNAM RAJU,Pyramid Party of India,4232
SHIVAJI GOTTUMUKKALA,Independent,2286
BADAMPUDI SIVA,Independent,1605
ADDANKI (SEKHAR BABU) DORABABU,Independent,1344
VOLETI VENKATA LAKSHMANA RAO,Independent,1298
VANGALAPUDI YASHYAA,Independent,1281
MEDAPATI VARAHALA REDDY,Independent,1250
None of the Above,None of the Above,8004
